Mon May  9 16:53:45 2022    Output.dat

         39877722 function calls (38825456 primitive calls) in 20.821 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1076    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\__init__.py:1180(is_interactive)
     4666    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     2954    0.000    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\abc.py:96(__instancecheck__)
      606    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(dot)
      906    0.000    0.000    0.020    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:116(<lambda>)
      406    0.000    0.000    0.005    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:822(from_extents)
      602    0.000    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
      140    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\backend_bases.py:735(__init__)
       32    0.000    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\ticker.py:787(_set_format)
      572    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\font_manager.py:807(set_style)
      112    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:637(translated)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'ImagingCore' objects}
      334    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\patches.py:739(_convert_units)
       56    0.000    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       16    0.000    0.000    0.032    0.002 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\axis.py:1040(_update_ticks)
      128    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
     2338    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       56    0.000    0.000    0.024    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\axis.py:291(draw)
      576    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\lines.py:630(set_data)
       64    0.000    0.000    0.010    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\ticker.py:433(__init__)
      372    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\cbook\__init__.py:872(get_siblings)
      288    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\lines.py:1291(set_dash_joinstyle)
       64    0.000    0.000    0.000    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\lib\function_base.py:1164(diff)
      157    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\lib\stride_tricks.py:478(broadcast_arrays)
      160    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\lib\shape_base.py:612(column_stack)
      572    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\font_manager.py:817(set_variant)
      926    0.000    0.000    0.005    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:1348(__add__)
     1066    0.000    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\figure.py:46(_stale_figure_callback)
     22/5    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\sre_parse.py:493(_parse)
        2    0.000    0.000    0.000    0.000 {built-in method gc.collect}
      354    0.000    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:2012(rotate_deg)
      350    0.000    0.000    0.017    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\patches.py:276(get_transform)
      128    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\axis.py:1607(_set_formatter)
      626    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:723(set_figure)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
      888    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\lines.py:1222(set_xdata)
       56    0.000    0.000    0.000    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
